Class,Frequency
http://www.w3.org/2002/07/owl#AnnotationProperty,5
http://www.w3.org/2002/07/owl#Class,143
http://www.w3.org/2002/07/owl#ObjectProperty,212
http://www.w3.org/2000/01/rdf-schema#Datatype,10
https://w3id.org/hacid/onto/data/DependentVariable,193
https://w3id.org/hacid/onto/top-level/Collection,24
https://w3id.org/hacid/onto/top-level/ConceptScheme,12
https://w3id.org/hacid/onto/data/Aggregation,79
https://w3id.org/hacid/onto/data/IndependentVariable,4
https://w3id.org/hacid/onto/top-level/Concept,48
https://w3id.org/hacid/onto/top-level/Description,1
https://w3id.org/hacid/onto/data/DimensionalSpace,4423
https://w3id.org/hacid/onto/data/VariableSpecialization,2230
https://w3id.org/hacid/onto/ccso/EnsembleProjection,2208
https://w3id.org/hacid/onto/ccso/ScenarioBasedProjection,157107
https://w3id.org/hacid/onto/ccso/SingleProjection,514792
https://w3id.org/hacid/onto/ccso/SingleProjectionProduction,106
https://w3id.org/hacid/onto/ccso/StatisticalProjectionTransformation,110
https://w3id.org/hacid/onto/ccso/EnsembleProjectionProduction,4
https://w3id.org/hacid/onto/data/Continuum,24
https://w3id.org/hacid/onto/data/GeodeticRegion,91
https://w3id.org/hacid/onto/data/SimpleRegularBinning,21
https://w3id.org/hacid/onto/data/DiscreteDimensionalSpace,10
https://w3id.org/hacid/onto/data/GeodeticPoint,12
https://w3id.org/hacid/onto/data/TemporalRegion,2176
https://w3id.org/hacid/onto/data/SinglePeriodicBinning,1
https://w3id.org/hacid/onto/data/RegularPeriodicBinning,4
https://w3id.org/hacid/onto/data/RegularBinning,8
https://w3id.org/hacid/onto/ccso/HazardType,42
https://w3id.org/hacid/onto/ccso/EnsembleSimulation,1411
https://w3id.org/hacid/onto/ccso/GlobalClimateSimulation,918
https://w3id.org/hacid/onto/ccso/ClimateModelIntercomparisonExperiment,579
https://w3id.org/hacid/onto/data/Dataset,2
https://w3id.org/hacid/onto/data/DataGeneratingProcess,2
https://w3id.org/hacid/onto/top-level/Action,43
https://w3id.org/hacid/onto/ccso/GlobalClimateModel,42
https://w3id.org/hacid/onto/ccso/RegionalClimateModel,147
https://w3id.org/hacid/onto/ccso/ConvectionPermittingClimateModel,1
https://w3id.org/hacid/onto/top-level/Organization,91
http://www.w3.org/2002/07/owl#NamedIndividual,12
https://w3id.org/hacid/onto/ccso/GreenhouseGasConcentrationPathway,7
https://w3id.org/hacid/onto/ccso/SharedSocioeconomicPathway,5
https://w3id.org/hacid/onto/ccso/SingleSimulation,2744
https://w3id.org/hacid/onto/ccso/PerturbedParameterClimateEnsembleSimulation,152
https://w3id.org/hacid/onto/ccso/DynamicalDownscaling,3963
https://w3id.org/hacid/onto/ccso/ProbabilisticProjection,56448
https://w3id.org/hacid/onto/top-level/UnitOfMeasure,148
https://w3id.org/hacid/onto/top-level/Amount,5
https://w3id.org/hacid/onto/data/Variable,6143
https://w3id.org/hacid/onto/top-level/Method,60
https://w3id.org/hacid/onto/top-level/InformationRole,65
https://w3id.org/hacid/onto/top-level/Operation,81
http://www.w3.org/2002/07/owl#SymmetricProperty,2
http://www.w3.org/2002/07/owl#Ontology,3
http://www.w3.org/2002/07/owl#DatatypeProperty,20
http://www.w3.org/2002/07/owl#TransitiveProperty,10
http://www.w3.org/2002/07/owl#AsymmetricProperty,4
http://www.w3.org/2002/07/owl#ReflexiveProperty,2
http://www.w3.org/2002/07/owl#Restriction,63
