Class,Frequency
https://w3id.org/hacid/onto/ccso/EmissionScenario,18
https://w3id.org/hacid/onto/top-level/Concept,590048
https://w3id.org/hacid/onto/top-level/Entity,654288
https://w3id.org/hacid/onto/top-level/Object,590236
https://w3id.org/hacid/onto/top-level/SocialObject,590145
http://www.w3.org/2001/XMLSchema#datetime,1
https://w3id.org/hacid/onto/data/Dataset,576343
https://w3id.org/hacid/onto/data/Variable,587476
https://w3id.org/hacid/onto/ccso/GlobalWarmingLevel,7
http://www.w3.org/2002/07/owl#AnnotationProperty,5
http://www.w3.org/2002/07/owl#Class,143
http://www.w3.org/2002/07/owl#ObjectProperty,212
http://www.w3.org/2000/01/rdf-schema#Datatype,10
https://w3id.org/hacid/onto/data/DependentVariable,574458
https://w3id.org/hacid/onto/data/DerivedVariable,429437
https://w3id.org/hacid/onto/top-level/Collection,24
https://w3id.org/hacid/onto/top-level/ConceptScheme,12
https://w3id.org/hacid/onto/top-level/Description,154
https://w3id.org/hacid/onto/data/Aggregation,79
https://w3id.org/hacid/onto/data/IndependentVariable,4494
https://w3id.org/hacid/onto/data/DimensionalSpace,4490
https://w3id.org/hacid/onto/data/DiscreteDimensionalSpace,3672
https://w3id.org/hacid/onto/data/VariableSpecialization,2232
https://w3id.org/hacid/onto/top-level/Characteristic,2384
https://w3id.org/hacid/onto/top-level/Parameter,2384
https://w3id.org/hacid/onto/ccso/EnsembleProjection,2208
https://w3id.org/hacid/onto/ccso/Projection,573448
https://w3id.org/hacid/onto/ccso/ScenarioBasedProjection,157107
https://w3id.org/hacid/onto/ccso/SingleProjection,514792
https://w3id.org/hacid/onto/ccso/ProjectionProduction,5013
https://w3id.org/hacid/onto/ccso/ProjectionTransformation,4073
https://w3id.org/hacid/onto/ccso/Simulation,5085
https://w3id.org/hacid/onto/ccso/SingleProjectionProduction,2850
https://w3id.org/hacid/onto/ccso/StatisticalProjectionTransformation,110
https://w3id.org/hacid/onto/data/DataConsumingProcess,4073
https://w3id.org/hacid/onto/data/DataGeneratingProcess,5126
https://w3id.org/hacid/onto/data/DataTransformation,4073
https://w3id.org/hacid/onto/ccso/EnsembleProjectionProduction,735
https://w3id.org/hacid/onto/ccso/EnsembleSimulation,2141
https://w3id.org/hacid/onto/data/Continuum,24
http://www.opengis.net/ont/geosparql#Geometry,103
https://w3id.org/hacid/onto/data/GeodeticRegion,91
https://w3id.org/hacid/onto/data/Region,2268
https://w3id.org/hacid/onto/top-level/FormalEntity,2273
https://w3id.org/hacid/onto/top-level/Region,2273
https://w3id.org/hacid/onto/data/Binning,28
https://w3id.org/hacid/onto/data/Quantization,28
https://w3id.org/hacid/onto/data/RegularBinning,27
https://w3id.org/hacid/onto/data/SimpleRegularBinning,21
https://w3id.org/hacid/onto/data/GeodeticPoint,12
https://w3id.org/hacid/onto/data/Point,13
https://w3id.org/hacid/onto/data/TemporalRegion,2176
https://w3id.org/hacid/onto/data/PeriodicBinning,5
https://w3id.org/hacid/onto/data/SinglePeriodicBinning,1
https://w3id.org/hacid/onto/data/RegularPeriodicBinning,4
https://w3id.org/hacid/onto/ccso/ClimatePhenomenonType,42
https://w3id.org/hacid/onto/ccso/HazardType,42
https://w3id.org/hacid/onto/ccso/ClimateSimulation,4903
https://w3id.org/hacid/onto/ccso/GlobalClimateSimulation,918
https://w3id.org/hacid/onto/ccso/ClimateModelIntercomparisonExperiment,579
https://w3id.org/hacid/onto/top-level/Action,43
https://w3id.org/hacid/onto/top-level/Event,43
https://w3id.org/hacid/onto/ccso/ClimateModel,190
https://w3id.org/hacid/onto/ccso/GlobalClimateModel,42
https://w3id.org/hacid/onto/ccso/RegionalClimateModel,147
https://w3id.org/hacid/onto/ccso/ConvectionPermittingClimateModel,1
https://w3id.org/hacid/onto/ccso/LocalClimateModel,1
https://w3id.org/hacid/onto/top-level/Agent,91
https://w3id.org/hacid/onto/top-level/Organization,91
http://www.w3.org/2002/07/owl#NamedIndividual,12
https://w3id.org/hacid/onto/ccso/GreenhouseGasConcentrationPathway,7
https://w3id.org/hacid/onto/ccso/SharedSocioeconomicPathway,5
https://w3id.org/hacid/onto/ccso/SingleSimulation,2744
https://w3id.org/hacid/onto/ccso/PerturbedParameterClimateEnsembleSimulation,152
https://w3id.org/hacid/onto/ccso/Downscaling,3963
https://w3id.org/hacid/onto/ccso/DynamicalDownscaling,3963
https://w3id.org/hacid/onto/ccso/Rescaling,3963
https://w3id.org/hacid/onto/ccso/ProbabilisticProjection,56448
https://w3id.org/hacid/onto/top-level/UnitOfMeasure,152
https://w3id.org/hacid/onto/top-level/Amount,5
https://w3id.org/hacid/onto/top-level/Method,60
https://w3id.org/hacid/onto/top-level/InformationRole,65
https://w3id.org/hacid/onto/top-level/Role,65
https://w3id.org/hacid/onto/top-level/Operation,81
https://w3id.org/hacid/onto/top-level/Task,81
http://www.w3.org/2002/07/owl#SymmetricProperty,2
http://www.w3.org/2002/07/owl#Ontology,3
http://www.w3.org/2002/07/owl#DatatypeProperty,20
http://www.w3.org/2002/07/owl#TransitiveProperty,10
http://www.w3.org/2002/07/owl#AsymmetricProperty,4
http://www.w3.org/2002/07/owl#ReflexiveProperty,2
http://www.w3.org/2002/07/owl#Restriction,63
